name,total,Year,Month
Staten Island Ferry,14575,2020,10
Staten Island Ferry,11640,2020,11
Staten Island Ferry,8700,2020,12
Staten Island Ferry,8636,2021,01
Staten Island Ferry,5283,2021,02
Staten Island Ferry,10269,2021,03
Staten Island Ferry,11693,2021,04
Staten Island Ferry,14055,2021,05
Staten Island Ferry,14349,2021,06
Staten Island Ferry,14056,2021,07
Staten Island Ferry,14748,2021,08
Staten Island Ferry,15458,2021,09
Staten Island Ferry,15263,2021,10
Staten Island Ferry,12446,2021,11
Staten Island Ferry,11014,2021,12
Staten Island Ferry,7700,2022,01
Staten Island Ferry,8029,2022,02
Staten Island Ferry,10810,2022,03
Staten Island Ferry,12450,2022,04
Staten Island Ferry,14366,2022,05
Staten Island Ferry,15827,2022,06
Staten Island Ferry,15289,2022,07
Staten Island Ferry,16349,2022,08
Staten Island Ferry,16014,2022,09
Staten Island Ferry,13197,2022,10
Staten Island Ferry,12218,2022,11
Staten Island Ferry,9506,2022,12
Staten Island Ferry,10245,2023,01
Staten Island Ferry,9943,2023,02
Staten Island Ferry,11295,2023,03
Staten Island Ferry,12434,2023,04
Staten Island Ferry,15100,2023,05
Staten Island Ferry,14983,2023,06
Staten Island Ferry,11624,2023,07
Staten Island Ferry,17588,2023,08
Staten Island Ferry,15198,2023,09
Staten Island Ferry,15827,2023,10
Staten Island Ferry,19675,2023,11
Staten Island Ferry,13281,2023,12
Staten Island Ferry,15048,2024,01
Staten Island Ferry,10956,2024,02
Staten Island Ferry,12262,2024,03
Staten Island Ferry,16523,2024,04
Staten Island Ferry,29657,2024,05
Staten Island Ferry,29630,2024,06
Staten Island Ferry,30427,2024,07
Staten Island Ferry,30000,2024,08
Staten Island Ferry,29933,2024,09
Kent Ave btw North 8th St and North 9th St,9316,2016,11
Kent Ave btw North 8th St and North 9th St,35187,2016,12
Kent Ave btw North 8th St and North 9th St,32074,2017,01
Kent Ave btw North 8th St and North 9th St,40791,2017,02
Kent Ave btw North 8th St and North 9th St,34997,2017,03
Kent Ave btw North 8th St and North 9th St,80865,2017,04
Kent Ave btw North 8th St and North 9th St,93529,2017,05
Kent Ave btw North 8th St and North 9th St,112387,2017,06
Kent Ave btw North 8th St and North 9th St,114953,2017,07
Kent Ave btw North 8th St and North 9th St,112608,2017,08
Kent Ave btw North 8th St and North 9th St,113126,2017,09
Kent Ave btw North 8th St and North 9th St,96063,2017,10
Kent Ave btw North 8th St and North 9th St,59355,2017,11
Kent Ave btw North 8th St and North 9th St,37492,2017,12
Kent Ave btw North 8th St and North 9th St,29312,2018,01
Kent Ave btw North 8th St and North 9th St,36362,2018,02
Kent Ave btw North 8th St and North 9th St,40872,2018,03
Kent Ave btw North 8th St and North 9th St,66394,2018,04
Kent Ave btw North 8th St and North 9th St,98155,2018,05
Kent Ave btw North 8th St and North 9th St,109266,2018,06
Kent Ave btw North 8th St and North 9th St,107856,2018,07
Kent Ave btw North 8th St and North 9th St,100420,2018,08
Kent Ave btw North 8th St and North 9th St,93145,2018,09
Kent Ave btw North 8th St and North 9th St,81615,2018,10
Kent Ave btw North 8th St and North 9th St,47323,2018,11
Kent Ave btw North 8th St and North 9th St,36059,2018,12
Kent Ave btw North 8th St and North 9th St,32978,2019,01
Kent Ave btw North 8th St and North 9th St,34514,2019,02
Kent Ave btw North 8th St and North 9th St,49958,2019,03
Kent Ave btw North 8th St and North 9th St,76003,2019,04
Kent Ave btw North 8th St and North 9th St,92769,2019,05
Kent Ave btw North 8th St and North 9th St,103378,2019,06
Kent Ave btw North 8th St and North 9th St,99699,2019,07
Kent Ave btw North 8th St and North 9th St,106664,2019,08
Kent Ave btw North 8th St and North 9th St,105320,2019,09
Kent Ave btw North 8th St and North 9th St,76968,2019,10
Kent Ave btw North 8th St and North 9th St,51947,2019,11
Kent Ave btw North 8th St and North 9th St,35141,2019,12
Kent Ave btw North 8th St and North 9th St,43269,2020,01
Kent Ave btw North 8th St and North 9th St,40344,2020,02
Kent Ave btw North 8th St and North 9th St,57532,2020,03
Kent Ave btw North 8th St and North 9th St,57441,2020,04
Kent Ave btw North 8th St and North 9th St,121901,2020,05
Kent Ave btw North 8th St and North 9th St,146300,2020,06
Kent Ave btw North 8th St and North 9th St,141444,2020,07
Kent Ave btw North 8th St and North 9th St,149984,2020,08
Kent Ave btw North 8th St and North 9th St,142765,2020,09
Kent Ave btw North 8th St and North 9th St,115550,2020,10
Kent Ave btw North 8th St and North 9th St,88915,2020,11
Kent Ave btw North 8th St and North 9th St,47761,2020,12
Kent Ave btw North 8th St and North 9th St,48987,2021,01
Kent Ave btw North 8th St and North 9th St,32717,2021,02
Kent Ave btw North 8th St and North 9th St,73053,2021,03
Kent Ave btw North 8th St and North 9th St,90911,2021,04
Kent Ave btw North 8th St and North 9th St,115424,2021,05
Kent Ave btw North 8th St and North 9th St,122966,2021,06
Kent Ave btw North 8th St and North 9th St,120082,2021,07
Kent Ave btw North 8th St and North 9th St,118145,2021,08
Kent Ave btw North 8th St and North 9th St,125493,2021,09
Kent Ave btw North 8th St and North 9th St,110617,2021,10
Kent Ave btw North 8th St and North 9th St,74653,2021,11
Kent Ave btw North 8th St and North 9th St,59526,2021,12
Kent Ave btw North 8th St and North 9th St,35380,2022,01
Kent Ave btw North 8th St and North 9th St,43341,2022,02
Kent Ave btw North 8th St and North 9th St,69914,2022,03
Kent Ave btw North 8th St and North 9th St,84173,2022,04
Kent Ave btw North 8th St and North 9th St,110983,2022,05
Kent Ave btw North 8th St and North 9th St,127045,2022,06
Kent Ave btw North 8th St and North 9th St,124824,2022,07
Kent Ave btw North 8th St and North 9th St,130972,2022,08
Kent Ave btw North 8th St and North 9th St,121511,2022,09
Kent Ave btw North 8th St and North 9th St,96108,2022,10
Kent Ave btw North 8th St and North 9th St,76546,2022,11
Kent Ave btw North 8th St and North 9th St,46232,2022,12
Kent Ave btw North 8th St and North 9th St,54749,2023,01
Kent Ave btw North 8th St and North 9th St,50728,2023,02
Kent Ave btw North 8th St and North 9th St,63351,2023,03
Kent Ave btw North 8th St and North 9th St,87734,2023,04
Kent Ave btw North 8th St and North 9th St,116870,2023,05
Kent Ave btw North 8th St and North 9th St,100492,2023,06
Kent Ave btw North 8th St and North 9th St,106162,2023,07
Kent Ave btw North 8th St and North 9th St,121964,2023,08
Kent Ave btw North 8th St and North 9th St,97987,2023,09
Kent Ave btw North 8th St and North 9th St,103148,2023,10
Kent Ave btw North 8th St and North 9th St,74317,2023,11
Kent Ave btw North 8th St and North 9th St,54765,2023,12
Kent Ave btw North 8th St and North 9th St,45922,2024,01
Kent Ave btw North 8th St and North 9th St,56833,2024,02
Kent Ave btw North 8th St and North 9th St,76364,2024,03
Kent Ave btw North 8th St and North 9th St,91977,2024,04
Kent Ave btw North 8th St and North 9th St,125388,2024,05
Kent Ave btw North 8th St and North 9th St,148344,2024,06
Kent Ave btw North 8th St and North 9th St,157020,2024,07
Kent Ave btw North 8th St and North 9th St,149365,2024,08
Kent Ave btw North 8th St and North 9th St,145047,2024,09
8th Ave at 50th St,70595,2019,12
8th Ave at 50th St,84837,2020,01
8th Ave at 50th St,81231,2020,02
8th Ave at 50th St,76910,2020,03
8th Ave at 50th St,53998,2020,04
8th Ave at 50th St,91714,2020,05
8th Ave at 50th St,107457,2020,06
8th Ave at 50th St,104408,2020,07
8th Ave at 50th St,114150,2020,08
8th Ave at 50th St,120226,2020,09
8th Ave at 50th St,114200,2020,10
8th Ave at 50th St,97805,2020,11
8th Ave at 50th St,71534,2020,12
8th Ave at 50th St,81282,2021,01
8th Ave at 50th St,43504,2021,02
8th Ave at 50th St,82232,2021,03
8th Ave at 50th St,92938,2021,04
8th Ave at 50th St,99615,2021,05
8th Ave at 50th St,100876,2021,06
8th Ave at 50th St,99194,2021,07
8th Ave at 50th St,103529,2021,08
8th Ave at 50th St,110697,2021,09
8th Ave at 50th St,95093,2021,10
8th Ave at 50th St,0,2021,11
8th Ave at 50th St,1317,2021,12
8th Ave at 50th St,79816,2022,05
8th Ave at 50th St,140793,2022,06
8th Ave at 50th St,132186,2022,07
8th Ave at 50th St,146873,2022,08
8th Ave at 50th St,94532,2022,09
8th Ave at 50th St,51601,2022,10
8th Ave at 50th St,36681,2022,11
8th Ave at 50th St,34469,2022,12
8th Ave at 50th St,33647,2023,01
8th Ave at 50th St,27944,2023,02
8th Ave at 50th St,32018,2023,03
8th Ave at 50th St,30632,2023,04
8th Ave at 50th St,34519,2023,05
8th Ave at 50th St,41976,2023,06
8th Ave at 50th St,136988,2023,07
8th Ave at 50th St,142441,2023,08
8th Ave at 50th St,82842,2023,09
8th Ave at 50th St,84689,2023,10
8th Ave at 50th St,77777,2023,11
8th Ave at 50th St,65036,2023,12
8th Ave at 50th St,60835,2024,01
8th Ave at 50th St,61366,2024,02
8th Ave at 50th St,78011,2024,03
8th Ave at 50th St,81236,2024,04
8th Ave at 50th St,99338,2024,05
8th Ave at 50th St,90541,2024,06
8th Ave at 50th St,95189,2024,07
8th Ave at 50th St,89221,2024,08
8th Ave at 50th St,85040,2024,09
Broadway at 50th St,4601,2019,12
Broadway at 50th St,1034,2020,01
Broadway at 50th St,0,2020,05
Broadway at 50th St,0,2020,06
Amsterdam Ave at 86th St,46140,2019,12
Amsterdam Ave at 86th St,40679,2020,01
Amsterdam Ave at 86th St,38283,2020,02
Amsterdam Ave at 86th St,37359,2020,03
Amsterdam Ave at 86th St,28853,2020,04
Amsterdam Ave at 86th St,45199,2020,05
Amsterdam Ave at 86th St,53438,2020,06
Amsterdam Ave at 86th St,64053,2020,07
Amsterdam Ave at 86th St,59731,2020,08
Amsterdam Ave at 86th St,60735,2020,09
Amsterdam Ave at 86th St,62633,2020,10
Amsterdam Ave at 86th St,65011,2020,11
Amsterdam Ave at 86th St,45440,2020,12
Amsterdam Ave at 86th St,48001,2021,01
Amsterdam Ave at 86th St,35773,2021,02
Amsterdam Ave at 86th St,48977,2021,03
Amsterdam Ave at 86th St,53786,2021,04
Amsterdam Ave at 86th St,59327,2021,05
Amsterdam Ave at 86th St,59582,2021,06
Amsterdam Ave at 86th St,56925,2021,07
Amsterdam Ave at 86th St,57819,2021,08
Amsterdam Ave at 86th St,71049,2021,09
Amsterdam Ave at 86th St,61046,2021,10
Amsterdam Ave at 86th St,68178,2021,11
Amsterdam Ave at 86th St,60553,2021,12
Amsterdam Ave at 86th St,51272,2022,01
Amsterdam Ave at 86th St,48688,2022,02
Amsterdam Ave at 86th St,53088,2022,03
Amsterdam Ave at 86th St,56771,2022,04
Amsterdam Ave at 86th St,59204,2022,05
Amsterdam Ave at 86th St,57173,2022,06
Amsterdam Ave at 86th St,61500,2022,07
Amsterdam Ave at 86th St,65916,2022,08
Amsterdam Ave at 86th St,63693,2022,09
Amsterdam Ave at 86th St,62737,2022,10
Amsterdam Ave at 86th St,58993,2022,11
Amsterdam Ave at 86th St,49884,2022,12
Amsterdam Ave at 86th St,53425,2023,01
Amsterdam Ave at 86th St,49960,2023,02
Amsterdam Ave at 86th St,58730,2023,03
Amsterdam Ave at 86th St,60301,2023,04
Amsterdam Ave at 86th St,71967,2023,05
Amsterdam Ave at 86th St,69452,2023,06
Amsterdam Ave at 86th St,66256,2023,07
Amsterdam Ave at 86th St,68812,2023,08
Amsterdam Ave at 86th St,73528,2023,09
Amsterdam Ave at 86th St,74231,2023,10
Amsterdam Ave at 86th St,74676,2023,11
Amsterdam Ave at 86th St,76961,2023,12
Amsterdam Ave at 86th St,73841,2024,01
Amsterdam Ave at 86th St,70214,2024,02
Amsterdam Ave at 86th St,69238,2024,03
Amsterdam Ave at 86th St,75929,2024,04
Amsterdam Ave at 86th St,92760,2024,05
Amsterdam Ave at 86th St,87062,2024,06
Amsterdam Ave at 86th St,71259,2024,07
Amsterdam Ave at 86th St,66993,2024,08
Amsterdam Ave at 86th St,92662,2024,09
Columbus Ave at 86th St,27380,2019,12
Columbus Ave at 86th St,32733,2020,01
Columbus Ave at 86th St,30930,2020,02
Columbus Ave at 86th St,30503,2020,03
Columbus Ave at 86th St,23030,2020,04
Columbus Ave at 86th St,38531,2020,05
Columbus Ave at 86th St,45095,2020,06
Columbus Ave at 86th St,47457,2020,07
Columbus Ave at 86th St,51130,2020,08
Columbus Ave at 86th St,54782,2020,09
Columbus Ave at 86th St,55595,2020,10
Columbus Ave at 86th St,48741,2020,11
Columbus Ave at 86th St,38364,2020,12
Columbus Ave at 86th St,40131,2021,01
Columbus Ave at 86th St,26644,2021,02
Columbus Ave at 86th St,41592,2021,03
Columbus Ave at 86th St,47180,2021,04
Columbus Ave at 86th St,51958,2021,05
Columbus Ave at 86th St,51825,2021,06
Columbus Ave at 86th St,47331,2021,07
Columbus Ave at 86th St,46913,2021,08
Columbus Ave at 86th St,50690,2021,09
Columbus Ave at 86th St,50681,2021,10
Columbus Ave at 86th St,44419,2021,11
Columbus Ave at 86th St,40386,2021,12
Columbus Ave at 86th St,32969,2022,01
Columbus Ave at 86th St,33756,2022,02
Columbus Ave at 86th St,42555,2022,03
Columbus Ave at 86th St,46761,2022,04
Columbus Ave at 86th St,51991,2022,05
Columbus Ave at 86th St,52617,2022,06
Columbus Ave at 86th St,51254,2022,07
Columbus Ave at 86th St,53246,2022,08
Columbus Ave at 86th St,52309,2022,09
Columbus Ave at 86th St,50293,2022,10
Columbus Ave at 86th St,48303,2022,11
Columbus Ave at 86th St,39040,2022,12
Columbus Ave at 86th St,41439,2023,01
Columbus Ave at 86th St,39046,2023,02
Columbus Ave at 86th St,45009,2023,03
Columbus Ave at 86th St,47664,2023,04
Columbus Ave at 86th St,54260,2023,05
Columbus Ave at 86th St,51714,2023,06
Columbus Ave at 86th St,50891,2023,07
Columbus Ave at 86th St,51679,2023,08
Columbus Ave at 86th St,50280,2023,09
Columbus Ave at 86th St,55139,2023,10
Columbus Ave at 86th St,49188,2023,11
Columbus Ave at 86th St,47979,2023,12
Columbus Ave at 86th St,44472,2024,01
Columbus Ave at 86th St,44149,2024,02
Columbus Ave at 86th St,48909,2024,03
Columbus Ave at 86th St,51512,2024,04
Columbus Ave at 86th St,58495,2024,05
Columbus Ave at 86th St,58063,2024,06
Columbus Ave at 86th St,53660,2024,07
Columbus Ave at 86th St,54823,2024,08
Columbus Ave at 86th St,58354,2024,09
Manhattan Bridge Bike Comprehensive,4725,2012,08
Manhattan Bridge Bike Comprehensive,121957,2012,09
Manhattan Bridge Bike Comprehensive,104515,2012,10
Manhattan Bridge Bike Comprehensive,115059,2012,11
Manhattan Bridge Bike Comprehensive,56831,2012,12
Manhattan Bridge Bike Comprehensive,13582,2013,01
Manhattan Bridge Bike Comprehensive,41501,2013,12
Manhattan Bridge Bike Comprehensive,32873,2014,01
Manhattan Bridge Bike Comprehensive,24676,2014,02
Manhattan Bridge Bike Comprehensive,56659,2014,03
Manhattan Bridge Bike Comprehensive,108965,2014,04
Manhattan Bridge Bike Comprehensive,146262,2014,05
Manhattan Bridge Bike Comprehensive,158570,2014,06
Manhattan Bridge Bike Comprehensive,158102,2014,07
Manhattan Bridge Bike Comprehensive,165104,2014,08
Manhattan Bridge Bike Comprehensive,161397,2014,09
Manhattan Bridge Bike Comprehensive,136254,2014,10
Manhattan Bridge Bike Comprehensive,79791,2014,11
Manhattan Bridge Bike Comprehensive,55044,2014,12
Manhattan Bridge Bike Comprehensive,34361,2015,01
Manhattan Bridge Bike Comprehensive,18995,2015,02
Manhattan Bridge Bike Comprehensive,50339,2015,03
Manhattan Bridge Bike Comprehensive,121484,2015,04
Manhattan Bridge Bike Comprehensive,175810,2015,05
Manhattan Bridge Bike Comprehensive,149593,2015,06
Manhattan Bridge Bike Comprehensive,161674,2015,07
Manhattan Bridge Bike Comprehensive,167811,2015,08
Manhattan Bridge Bike Comprehensive,161808,2015,09
Manhattan Bridge Bike Comprehensive,133530,2015,10
Manhattan Bridge Bike Comprehensive,103075,2015,11
Manhattan Bridge Bike Comprehensive,76119,2015,12
Manhattan Bridge Bike Comprehensive,46017,2016,01
Manhattan Bridge Bike Comprehensive,49091,2016,02
Manhattan Bridge Bike Comprehensive,102377,2016,03
Manhattan Bridge Bike Comprehensive,116938,2016,04
Manhattan Bridge Bike Comprehensive,138758,2016,05
Manhattan Bridge Bike Comprehensive,174338,2016,06
Manhattan Bridge Bike Comprehensive,148355,2016,07
Manhattan Bridge Bike Comprehensive,157249,2016,08
Manhattan Bridge Bike Comprehensive,166634,2016,09
Manhattan Bridge Bike Comprehensive,140427,2016,10
Manhattan Bridge Bike Comprehensive,102012,2016,11
Manhattan Bridge Bike Comprehensive,60959,2016,12
Manhattan Bridge Bike Comprehensive,54874,2017,01
Manhattan Bridge Bike Comprehensive,67748,2017,02
Manhattan Bridge Bike Comprehensive,59432,2017,03
Manhattan Bridge Bike Comprehensive,125235,2017,04
Manhattan Bridge Bike Comprehensive,147692,2017,05
Manhattan Bridge Bike Comprehensive,166715,2017,06
Manhattan Bridge Bike Comprehensive,160719,2017,07
Manhattan Bridge Bike Comprehensive,169671,2017,08
Manhattan Bridge Bike Comprehensive,168731,2017,09
Manhattan Bridge Bike Comprehensive,156738,2017,10
Manhattan Bridge Bike Comprehensive,101328,2017,11
Manhattan Bridge Bike Comprehensive,61146,2017,12
Manhattan Bridge Bike Comprehensive,47660,2018,01
Manhattan Bridge Bike Comprehensive,61260,2018,02
Manhattan Bridge Bike Comprehensive,66667,2018,03
Manhattan Bridge Bike Comprehensive,103188,2018,04
Manhattan Bridge Bike Comprehensive,165118,2018,05
Manhattan Bridge Bike Comprehensive,167178,2018,06
Manhattan Bridge Bike Comprehensive,152384,2018,07
Manhattan Bridge Bike Comprehensive,152226,2018,08
Manhattan Bridge Bike Comprehensive,136711,2018,09
Manhattan Bridge Bike Comprehensive,144651,2018,10
Manhattan Bridge Bike Comprehensive,84194,2018,11
Manhattan Bridge Bike Comprehensive,64883,2018,12
Manhattan Bridge Bike Comprehensive,59462,2019,01
Manhattan Bridge Bike Comprehensive,57236,2019,02
Manhattan Bridge Bike Comprehensive,83491,2019,03
Manhattan Bridge Bike Comprehensive,129396,2019,04
Manhattan Bridge Bike Comprehensive,133921,2019,05
Manhattan Bridge Bike Comprehensive,137100,2019,06
Manhattan Bridge Bike Comprehensive,143607,2019,07
Manhattan Bridge Bike Comprehensive,153621,2019,08
Manhattan Bridge Bike Comprehensive,160866,2019,09
Manhattan Bridge Bike Comprehensive,129664,2019,10
Manhattan Bridge Bike Comprehensive,92170,2019,11
Manhattan Bridge Bike Comprehensive,51472,2019,12
Manhattan Bridge Bike Comprehensive,75863,2020,01
Manhattan Bridge Bike Comprehensive,65992,2020,02
Manhattan Bridge Bike Comprehensive,87910,2020,03
Manhattan Bridge Bike Comprehensive,56737,2020,04
Manhattan Bridge Bike Comprehensive,118842,2020,05
Manhattan Bridge Bike Comprehensive,161317,2020,06
Manhattan Bridge Bike Comprehensive,166917,2020,07
Manhattan Bridge Bike Comprehensive,179371,2020,08
Manhattan Bridge Bike Comprehensive,199221,2020,09
Manhattan Bridge Bike Comprehensive,175803,2020,10
Manhattan Bridge Bike Comprehensive,136032,2020,11
Manhattan Bridge Bike Comprehensive,82544,2020,12
Manhattan Bridge Bike Comprehensive,81689,2021,01
Manhattan Bridge Bike Comprehensive,42539,2021,02
Manhattan Bridge Bike Comprehensive,108486,2021,03
Manhattan Bridge Bike Comprehensive,134557,2021,04
Manhattan Bridge Bike Comprehensive,167476,2021,05
Manhattan Bridge Bike Comprehensive,181998,2021,06
Manhattan Bridge Bike Comprehensive,166415,2021,07
Manhattan Bridge Bike Comprehensive,168633,2021,08
Manhattan Bridge Bike Comprehensive,183003,2021,09
Manhattan Bridge Bike Comprehensive,165068,2021,10
Manhattan Bridge Bike Comprehensive,119039,2021,11
Manhattan Bridge Bike Comprehensive,94152,2021,12
Manhattan Bridge Bike Comprehensive,56184,2022,01
Manhattan Bridge Bike Comprehensive,67959,2022,02
Manhattan Bridge Bike Comprehensive,107571,2022,03
Manhattan Bridge Bike Comprehensive,133735,2022,04
Manhattan Bridge Bike Comprehensive,157650,2022,05
Manhattan Bridge Bike Comprehensive,174993,2022,06
Manhattan Bridge Bike Comprehensive,171824,2022,07
Manhattan Bridge Bike Comprehensive,184333,2022,08
Manhattan Bridge Bike Comprehensive,182313,2022,09
Manhattan Bridge Bike Comprehensive,149474,2022,10
Manhattan Bridge Bike Comprehensive,122173,2022,11
Manhattan Bridge Bike Comprehensive,76804,2022,12
Manhattan Bridge Bike Comprehensive,90519,2023,01
Manhattan Bridge Bike Comprehensive,85709,2023,02
Manhattan Bridge Bike Comprehensive,104645,2023,03
Manhattan Bridge Bike Comprehensive,135447,2023,04
Manhattan Bridge Bike Comprehensive,168912,2023,05
Manhattan Bridge Bike Comprehensive,151259,2023,06
Manhattan Bridge Bike Comprehensive,153454,2023,07
Manhattan Bridge Bike Comprehensive,171517,2023,08
Manhattan Bridge Bike Comprehensive,142932,2023,09
Manhattan Bridge Bike Comprehensive,164486,2023,10
Manhattan Bridge Bike Comprehensive,121935,2023,11
Manhattan Bridge Bike Comprehensive,89827,2023,12
Manhattan Bridge Bike Comprehensive,71120,2024,01
Manhattan Bridge Bike Comprehensive,85228,2024,02
Manhattan Bridge Bike Comprehensive,108847,2024,03
Manhattan Bridge Bike Comprehensive,129299,2024,04
Manhattan Bridge Bike Comprehensive,166834,2024,05
Manhattan Bridge Bike Comprehensive,181451,2024,06
Manhattan Bridge Bike Comprehensive,173140,2024,07
Manhattan Bridge Bike Comprehensive,105347,2024,08
Brooklyn Bridge Bicycle Path (Roadway),73141,2021,09
Brooklyn Bridge Bicycle Path (Roadway),113597,2021,10
Brooklyn Bridge Bicycle Path (Roadway),75343,2021,11
Brooklyn Bridge Bicycle Path (Roadway),46737,2021,12
Brooklyn Bridge Bicycle Path (Roadway),16881,2022,01
Brooklyn Bridge Bicycle Path (Roadway),38181,2022,02
Brooklyn Bridge Bicycle Path (Roadway),61073,2022,03
Brooklyn Bridge Bicycle Path (Roadway),83581,2022,04
Brooklyn Bridge Bicycle Path (Roadway),109151,2022,05
Brooklyn Bridge Bicycle Path (Roadway),122683,2022,06
Brooklyn Bridge Bicycle Path (Roadway),121886,2022,07
Brooklyn Bridge Bicycle Path (Roadway),129608,2022,08
Brooklyn Bridge Bicycle Path (Roadway),108968,2022,09
Brooklyn Bridge Bicycle Path (Roadway),92516,2022,10
Brooklyn Bridge Bicycle Path (Roadway),74868,2022,11
Brooklyn Bridge Bicycle Path (Roadway),42776,2022,12
Brooklyn Bridge Bicycle Path (Roadway),51699,2023,01
Brooklyn Bridge Bicycle Path (Roadway),50865,2023,02
Brooklyn Bridge Bicycle Path (Roadway),67738,2023,03
Brooklyn Bridge Bicycle Path (Roadway),100535,2023,04
Brooklyn Bridge Bicycle Path (Roadway),136538,2023,05
Brooklyn Bridge Bicycle Path (Roadway),121433,2023,06
Brooklyn Bridge Bicycle Path (Roadway),126213,2023,07
Brooklyn Bridge Bicycle Path (Roadway),148286,2023,08
Brooklyn Bridge Bicycle Path (Roadway),103481,2023,09
Brooklyn Bridge Bicycle Path (Roadway),130199,2023,10
Brooklyn Bridge Bicycle Path (Roadway),88930,2023,11
Brooklyn Bridge Bicycle Path (Roadway),63569,2023,12
Brooklyn Bridge Bicycle Path (Roadway),49856,2024,01
Brooklyn Bridge Bicycle Path (Roadway),59196,2024,02
Brooklyn Bridge Bicycle Path (Roadway),82392,2024,03
Brooklyn Bridge Bicycle Path (Roadway),106961,2024,04
Brooklyn Bridge Bicycle Path (Roadway),147577,2024,05
Brooklyn Bridge Bicycle Path (Roadway),158158,2024,06
Brooklyn Bridge Bicycle Path (Roadway),154386,2024,07
Brooklyn Bridge Bicycle Path (Roadway),160659,2024,08
Brooklyn Bridge Bicycle Path (Roadway),164031,2024,09
Comprehensive Brooklyn Bridge Counter,8221,2013,12
Comprehensive Brooklyn Bridge Counter,14585,2014,01
Comprehensive Brooklyn Bridge Counter,10517,2014,02
Comprehensive Brooklyn Bridge Counter,28579,2014,03
Comprehensive Brooklyn Bridge Counter,63420,2014,04
Comprehensive Brooklyn Bridge Counter,90961,2014,05
Comprehensive Brooklyn Bridge Counter,95580,2014,06
Comprehensive Brooklyn Bridge Counter,94263,2014,07
Comprehensive Brooklyn Bridge Counter,98399,2014,08
Comprehensive Brooklyn Bridge Counter,40822,2014,09
Comprehensive Brooklyn Bridge Counter,0,2014,10
Comprehensive Brooklyn Bridge Counter,0,2014,11
Comprehensive Brooklyn Bridge Counter,12739,2014,12
Comprehensive Brooklyn Bridge Counter,14563,2015,01
Comprehensive Brooklyn Bridge Counter,7744,2015,02
Comprehensive Brooklyn Bridge Counter,24137,2015,03
Comprehensive Brooklyn Bridge Counter,63999,2015,04
Comprehensive Brooklyn Bridge Counter,104928,2015,05
Comprehensive Brooklyn Bridge Counter,87085,2015,06
Comprehensive Brooklyn Bridge Counter,100731,2015,07
Comprehensive Brooklyn Bridge Counter,112621,2015,08
Comprehensive Brooklyn Bridge Counter,101522,2015,09
Comprehensive Brooklyn Bridge Counter,77015,2015,10
Comprehensive Brooklyn Bridge Counter,56406,2015,11
Comprehensive Brooklyn Bridge Counter,41284,2015,12
Comprehensive Brooklyn Bridge Counter,23133,2016,01
Comprehensive Brooklyn Bridge Counter,25331,2016,02
Comprehensive Brooklyn Bridge Counter,57867,2016,03
Comprehensive Brooklyn Bridge Counter,68096,2016,04
Comprehensive Brooklyn Bridge Counter,84513,2016,05
Comprehensive Brooklyn Bridge Counter,108407,2016,06
Comprehensive Brooklyn Bridge Counter,115010,2016,07
Comprehensive Brooklyn Bridge Counter,106061,2016,08
Comprehensive Brooklyn Bridge Counter,90605,2016,09
Comprehensive Brooklyn Bridge Counter,76111,2016,10
Comprehensive Brooklyn Bridge Counter,52504,2016,11
Comprehensive Brooklyn Bridge Counter,28363,2016,12
Comprehensive Brooklyn Bridge Counter,23689,2017,01
Comprehensive Brooklyn Bridge Counter,31324,2017,02
Comprehensive Brooklyn Bridge Counter,27589,2017,03
Comprehensive Brooklyn Bridge Counter,67506,2017,04
Comprehensive Brooklyn Bridge Counter,75995,2017,05
Comprehensive Brooklyn Bridge Counter,82716,2017,06
Comprehensive Brooklyn Bridge Counter,85443,2017,07
Comprehensive Brooklyn Bridge Counter,94882,2017,08
Comprehensive Brooklyn Bridge Counter,86874,2017,09
Comprehensive Brooklyn Bridge Counter,80153,2017,10
Comprehensive Brooklyn Bridge Counter,46525,2017,11
Comprehensive Brooklyn Bridge Counter,27546,2017,12
Comprehensive Brooklyn Bridge Counter,20519,2018,01
Comprehensive Brooklyn Bridge Counter,28768,2018,02
Comprehensive Brooklyn Bridge Counter,31315,2018,03
Comprehensive Brooklyn Bridge Counter,51776,2018,04
Comprehensive Brooklyn Bridge Counter,88855,2018,05
Comprehensive Brooklyn Bridge Counter,84022,2018,06
Comprehensive Brooklyn Bridge Counter,85611,2018,07
Comprehensive Brooklyn Bridge Counter,89836,2018,08
Comprehensive Brooklyn Bridge Counter,74181,2018,09
Comprehensive Brooklyn Bridge Counter,68903,2018,10
Comprehensive Brooklyn Bridge Counter,33808,2018,11
Comprehensive Brooklyn Bridge Counter,23378,2018,12
Comprehensive Brooklyn Bridge Counter,20860,2019,01
Comprehensive Brooklyn Bridge Counter,20561,2019,02
Comprehensive Brooklyn Bridge Counter,30487,2019,03
Comprehensive Brooklyn Bridge Counter,57160,2019,04
Comprehensive Brooklyn Bridge Counter,62291,2019,05
Comprehensive Brooklyn Bridge Counter,63180,2019,06
Comprehensive Brooklyn Bridge Counter,66632,2019,07
Comprehensive Brooklyn Bridge Counter,76520,2019,08
Comprehensive Brooklyn Bridge Counter,71835,2019,09
Comprehensive Brooklyn Bridge Counter,54994,2019,10
Comprehensive Brooklyn Bridge Counter,32892,2019,11
